,,,,,,,,,,,,,,
,■大阪店舗データ,,,,,,,,,,,,,
,,,記帳日,,,,,,,,,,,
,,売上,2022年3月,2022年6月,2022年9月,2022年12月,2023年3月,2023年6月,2023年9月,2023年12月,2024年3月,2024年6月,2024年9月,2024年12月
,,菓子売上,"1,176,494","1,011,344","1,024,692","1,125,960","933,154","1,037,337","1,001,043","967,560","1,041,820","1,040,990","1,024,188","1,197,323"
,,飲料売上,"1,109,530","1,090,252","1,009,987","1,004,080","1,107,631","1,062,836","1,111,000","1,108,528","1,098,891","997,190","1,049,766","1,229,158"
,,おもちゃ売上,"1,045,043","1,084,446","1,028,860","1,083,707","992,899","1,066,685","1,103,376","1,059,819","992,326","1,190,781","989,218","1,192,334"
,,日用品売上,"1,200,376","967,987","1,098,343","1,048,320","964,797","1,118,600","1,186,486","1,174,669","974,856","969,989","1,165,326","1,049,212"
,,売上合計,"4,531,443","4,154,029","4,161,882","4,262,067","3,998,481","4,285,458","4,401,905","4,310,576","4,107,893","4,198,950","4,228,498","4,668,027"
,,,,"8,685,472",,"8,423,949",,"8,283,939",,"8,712,481",,"8,306,843",,"8,896,525"
,,,記帳日,,,,,,,,,,,
,,経費,2022年3月,2022年6月,2022年9月,2022年12月,2023年3月,2023年6月,2023年9月,2023年12月,2024年3月,2024年6月,2024年9月,2024年12月
,,人件費,"244,267","260,047","269,918","292,278","273,869","288,131","238,755","252,276","272,075","246,165","243,576","273,470"
,,広告宣伝費,"276,592","269,961","245,674","239,815","297,021","262,472","289,489","306,708","284,569","270,937","222,243","290,643"
,,物流費,"300,244","273,644","261,886","300,571","285,605","258,601","275,721","245,755","288,317","274,630","227,105","321,929"
,,その他経費,"297,835","295,860","291,914","235,532","282,796","314,848","294,864","279,920","299,540","265,409","260,479","304,928"
,,販管費,"272,315","266,786","255,399","262,251","245,974","267,859","301,375","279,745","281,798","280,938","301,131","269,945"
,,経費合計,"1,391,253","1,366,298","1,324,791","1,330,447","1,385,265","1,391,911","1,400,204","1,364,404","1,426,299","1,338,079","1,254,534","1,460,915"
,,,,,,,,,,,,,,
,,利益,"3,140,190","2,787,731","2,837,091","2,931,620","2,613,216","2,893,547","3,001,701","2,946,172","2,681,594","2,860,871","2,973,964","3,207,112"
